slot_id,x1,y1,x2,y2,x3,y3,x4,y4
1,676,67,718,67,718,166,676,166
2,722,66,767,66,767,166,722,166
3,772,66,813,66,813,162,772,162
4,818,68,861,68,861,167,818,167
5,865,67,909,67,909,166,865,166
6,913,69,955,69,955,165,913,165
7,961,72,1006,72,1006,163,961,163
8,1008,69,1053,69,1053,164,1008,164
9,1054,69,1099,69,1099,169,1054,169
10,1103,71,1147,71,1147,168,1103,168
11,1149,71,1196,71,1196,168,1149,168
12,1201,72,1246,72,1246,169,1201,169
13,675,172,717,172,717,249,675,249
14,725,171,763,171,763,247,725,247
15,770,172,811,172,811,250,770,250
16,817,174,861,174,861,250,817,250
17,864,171,907,171,907,251,864,251
18,915,172,956,172,956,253,915,253
19,963,174,1006,174,1006,253,963,253
20,1010,175,1055,175,1055,254,1010,254
21,1057,173,1104,173,1104,248,1057,248
22,1107,173,1181,173,1181,257,1107,257
23,1185,173,1247,173,1247,254,1185,254
24,673,376,715,376,715,477,673,477
25,721,378,764,378,764,479,721,479
26,771,377,812,377,812,476,771,476
27,819,378,861,378,861,477,819,477
28,868,379,914,379,914,482,868,482
29,917,381,960,381,960,481,917,481
30,965,381,1008,381,1008,481,965,481
31,1011,381,1056,381,1056,482,1011,482
32,1062,380,1111,380,1111,482,1062,482
33,1115,382,1155,382,1155,481,1115,481
34,1155,381,1208,381,1208,484,1155,484
35,673,485,713,485,713,560,673,560
36,718,486,763,486,763,558,718,558
37,768,482,811,482,811,564,768,564
38,813,485,860,485,860,566,813,566
39,867,486,909,486,909,567,867,567
40,909,486,962,486,962,568,909,568
41,965,486,1011,486,1011,567,965,567
42,1013,487,1062,487,1062,570,1013,570
43,1064,487,1112,487,1112,574,1064,574
44,1241,549,1241,549,1241,549,1241,549
